iter	Passed	Remaining
0	22	22102
1	33	16769
2	45	15159
3	57	14369
4	72	14465
5	85	14227
6	97	13815
7	109	13562
8	121	13344
9	132	13082
10	144	13030
11	156	12855
12	167	12722
13	178	12582
14	190	12491
15	202	12434
16	213	12338
17	225	12284
18	237	12242
19	247	12146
20	259	12117
21	271	12076
22	283	12049
23	295	12007
24	307	11986
25	319	11955
26	330	11901
27	341	11861
28	353	11837
29	365	11814
30	376	11763
31	388	11761
32	402	11790
33	415	11812
34	426	11772
35	438	11752
36	451	11740
37	463	11743
38	479	11809
39	492	11827
40	505	11821
41	517	11808
42	530	11801
43	548	11910
44	566	12017
45	584	12122
46	597	12106
47	608	12069
48	620	12035
49	631	12006
50	643	11982
51	654	11937
52	666	11915
53	679	11897
54	690	11858
55	702	11842
56	714	11815
57	726	11795
58	737	11757
59	749	11741
60	761	11717
61	772	11692
62	785	11688
63	801	11720
64	814	11711
65	826	11692
66	841	11724
67	852	11687
68	864	11664
69	876	11643
70	887	11616
71	899	11594
72	912	11582
73	923	11559
74	934	11528
75	946	11508
76	958	11483
77	971	11478
78	981	11444
79	993	11427
80	1005	11408
81	1016	11377
82	1027	11356
83	1040	11347
84	1054	11352
85	1068	11360
86	1085	11387
87	1098	11388
88	1115	11419
89	1130	11431
90	1146	11451
91	1278	12615
92	1344	13111
93	1374	13243
94	1386	13212
95	1398	13173
96	1410	13128
97	1422	13092
98	1434	13052
99	1445	13008
100	1457	12977
101	1469	12941
102	1481	12902
103	1491	12853
104	1503	12818
105	1515	12783
106	1526	12736
107	1538	12706
108	1549	12669
109	1561	12631
110	1572	12591
111	1591	12618
112	1611	12647
113	1624	12624
114	1636	12592
115	1648	12563
116	1659	12525
117	1671	12490
118	1682	12459
119	1698	12452
120	1711	12429
121	1722	12392
122	1734	12367
123	1746	12336
124	1758	12311
125	1769	12274
126	1781	12244
127	1793	12220
128	1804	12184
129	1816	12156
130	1827	12122
131	1839	12093
132	1852	12079
133	1865	12057
134	1878	12035
135	1889	12003
136	1900	11973
137	1913	11953
138	1925	11924
139	1935	11889
140	1948	11868
141	1960	11843
142	1971	11814
143	1981	11781
144	1993	11757
145	2005	11732
146	2016	11700
147	2029	11681
148	2043	11669
149	2054	11642
150	2065	11614
151	2077	11589
152	2088	11563
153	2100	11537
154	2115	11533
155	2127	11510
156	2140	11490
157	2151	11463
158	2162	11436
159	2173	11411
160	2185	11387
161	2196	11362
162	2207	11337
163	2219	11315
164	2231	11290
165	2243	11273
166	2255	11251
167	2267	11229
168	2278	11201
169	2290	11181
170	2301	11158
171	2312	11132
172	2324	11113
173	2336	11093
174	2348	11073
175	2359	11045
176	2371	11026
177	2383	11007
178	2395	10986
179	2406	10964
180	2418	10943
181	2430	10923
182	2441	10898
183	2453	10879
184	2464	10859
185	2475	10834
186	2487	10816
187	2502	10810
188	2515	10794
189	2526	10770
190	2538	10749
191	2549	10729
192	2560	10708
193	2571	10683
194	2587	10680
195	2603	10681
196	2615	10661
197	2627	10643
198	2639	10624
199	2651	10605
200	2664	10591
201	2679	10586
202	2694	10578
203	2711	10581
204	2726	10575
205	2742	10571
206	2796	10711
207	2859	10888
208	2956	11190
209	2977	11201
210	2989	11179
211	3000	11153
212	3013	11134
213	3027	11119
214	3039	11096
215	3050	11073
216	3062	11050
217	3074	11028
218	3102	11065
219	3113	11039
220	3125	11015
221	3136	10992
222	3147	10967
223	3159	10945
224	3170	10922
225	3181	10897
226	3194	10879
227	3206	10858
228	3218	10836
229	3229	10811
230	3241	10790
231	3252	10767
232	3263	10742
233	3275	10721
234	3286	10699
235	3297	10674
236	3311	10662
237	3323	10640
238	3335	10620
239	3346	10596
240	3357	10574
241	3369	10552
242	3381	10532
243	3392	10510
244	3403	10489
245	3415	10468
246	3426	10446
247	3438	10427
248	3450	10407
249	3461	10384
250	3473	10364
251	3484	10344
252	3496	10323
253	3507	10301
254	3519	10282
255	3531	10262
256	3541	10239
257	3553	10220
258	3565	10200
259	3576	10177
260	3587	10156
261	3599	10137
262	3611	10119
263	3621	10097
264	3633	10077
265	3644	10057
266	3656	10038
267	3667	10018
268	3679	9999
269	3691	9979
